;fecha;hr_00;hr_06;hr_12;hr_18
1660;2004-07-18;64,70;67,04;63,88;62,07
1661;2004-07-19;78,16;76,88;77,29;73,57
1662;2004-07-20;87,21;87,72;90,34;88,42
1663;2004-07-21;82,43;82,04;83,95;83,32
1664;2004-07-22;;93,53;93,12;93,76
1665;2004-07-23;93,76;94,54;94,48;94,26
1666;2004-07-24;92,60;92,53;92,31;90,91
1667;2004-07-25;88,85;90,99;87,64;87,25
1668;2004-07-26;82,27;87,59;86,43;83,62
1669;2004-07-27;73,77;86,19;83,08;77,90
1670;2004-07-28;86,89;86,23;86,89;88,25
1671;2004-07-29;80,93;81,26;80,61;81,74
1672;2004-07-30;76,13;80,35;78,08;77,03
1673;2004-07-31;67,21;73,26;73,39;69,90
1674;2004-08-01;74,13;68,19;71,04;72,45
1675;2004-08-02;80,79;85,33;82,28;80,24
1676;2004-08-03;80,63;83,06;81,55;79,53
1677;2004-08-04;93,84;91,11;91,05;93,78
1678;2004-08-05;88,67;83,31;84,54;86,44
1679;2004-08-06;79,24;80,25;78,68;78,79
1680;2004-08-07;76,88;79,36;76,36;80,81
1681;2004-08-08;76,55;80,77;77,71;77,82
1682;2004-08-09;70,75;72,19;72,97;72,70
1683;2004-08-10;67,03;72,32;70,76;70,49
1684;2004-08-11;70,04;73,28;71,46;69,73
1685;2004-08-12;75,41;77,72;78,23;76,75
1686;2004-08-13;70,69;77,29;75,64;74,31
1687;2004-08-14;64,13;64,87;63,32;61,78
1688;2004-08-15;79,12;84,73;85,07;83,16
1689;2004-08-16;91,61;89,09;90,25;90,80
1690;2004-08-17;91,93;91,95;91,87;91,39
1691;2004-08-18;86,40;84,15;86,68;86,85
1692;2004-08-19;84,14;78,73;78,60;78,80
1693;2004-08-20;92,91;87,09;89,96;92,88
1694;2004-08-21;87,18;83,42;82,41;84,84
1695;2004-08-22;81,77;82,19;79,01;79,18
1696;2004-08-23;73,65;77,21;77,97;75,85
1697;2004-08-24;65,47;70,64;69,20;67,62
1698;2004-08-25;69,78;70,67;70,15;69,57
1699;2004-08-26;62,76;73,42;68,36;64,42
1700;2004-08-27;65,13;72,06;71,54;69,17
1701;2004-08-28;67,52;75,69;78,95;67,13
1702;2004-08-29;65,61;72,59;73,41;69,34
1703;2004-08-30;67,01;68,87;68,20;67,77
1704;2004-08-31;70,93;73,83;77,63;73,47
1705;2004-09-01;84,10;86,05;91,86;87,71
1706;2004-09-02;79,57;80,69;79,41;77,45
1707;2004-09-03;75,27;68,71;70,77;75,45
1708;2004-09-04;76,63;89,15;85,66;79,14
1709;2004-09-05;63,40;82,90;78,09;65,87
1710;2004-09-06;78,02;79,41;80,45;80,72
1711;2004-09-07;45,91;50,38;50,60;53,07
1712;2004-09-08;47,46;50,69;50,43;48,28
1713;2004-09-09;55,43;58,37;58,34;55,65
1714;2004-09-10;56,14;64,53;62,34;55,17
1715;2004-09-11;61,81;67,14;67,47;64,73
1716;2004-09-12;70,91;75,39;75,00;72,50
1717;2004-09-13;63,07;65,94;67,62;65,61
1718;2004-09-14;74,08;78,36;79,92;76,61
1719;2004-09-15;70,28;69,40;69,17;69,97
1720;2004-09-16;63,98;69,88;68,46;65,32
1721;2004-09-17;51,41;61,12;60,92;54,75
1722;2004-09-18;57,92;60,04;62,02;57,93
1723;2004-09-19;49,77;65,12;70,16;52,38
1724;2004-09-20;50,34;57,54;56,48;52,00
1725;2004-09-21;60,47;65,24;62,39;63,51
1726;2004-09-22;67,77;69,08;69,13;70,04
1727;2004-09-23;45,39;56,45;55,03;49,09
1728;2004-09-24;51,64;59,92;57,71;52,86
1729;2004-09-25;64,90;72,20;72,07;67,65
1730;2004-09-26;54,28;69,07;69,72;59,82
1731;2004-09-27;68,99;75,86;71,32;67,45
1732;2004-09-28;65,29;66,52;64,04;65,33
1733;2004-09-29;60,03;63,16;63,38;61,76
1734;2004-09-30;54,94;56,13;55,73;55,34
1735;2004-10-01;60,64;63,74;61,32;58,74
1736;2004-10-02;52,07;64,95;62,82;57,95
1737;2004-10-03;63,40;62,99;66,74;64,95
1738;2004-10-04;77,70;74,54;75,08;74,38
1739;2004-10-05;75,40;73,23;71,29;71,88
1740;2004-10-06;65,74;68,13;67,14;67,80
1741;2004-10-07;56,01;;61,94;60,85
1742;2004-10-08;80,01;90,45;91,70;86,59
1743;2004-10-09;87,78;85,16;82,74;87,05
1744;2004-10-10;82,69;90,29;85,89;86,97
1745;2004-10-11;79,05;83,30;83,66;82,33
1746;2004-10-12;93,53;95,27;95,70;93,90
1747;2004-10-13;75,81;77,91;74,43;80,33
1748;2004-10-14;71,43;74,59;73,59;74,05
1749;2004-10-15;68,47;69,63;73,81;69,17
1750;2004-10-16;79,66;82,02;75,43;75,25
1751;2004-10-17;58,71;62,31;57,86;54,47
1752;2004-10-18;72,48;69,98;69,65;71,43
1753;2004-10-19;66,96;67,54;68,50;64,56
1754;2004-10-20;56,38;61,85;62,65;58,34
1755;2004-10-21;55,45;62,97;63,49;58,27
1756;2004-10-22;66,17;69,22;72,66;67,08
1757;2004-10-23;75,24;;72,70;71,82
1758;2004-10-24;52,60;63,81;66,77;61,71
1759;2004-10-25;54,93;61,40;58,17;59,35
1760;2004-10-26;68,93;80,63;77,64;73,76
1761;2004-10-27;52,86;64,26;59,32;57,35
1762;2004-10-28;43,98;51,58;51,76;46,58
1763;2004-10-29;54,20;51,15;50,68;49,83
1764;2004-10-30;63,91;76,30;75,61;67,36
1765;2004-10-31;58,89;66,50;66,59;64,15
1766;2004-11-01;46,40;57,52;55,54;50,07
1767;2004-11-02;58,84;56,89;60,10;58,10
1768;2004-11-03;73,78;83,44;76,63;76,41
1769;2004-11-04;81,16;72,40;78,22;79,66
1770;2004-11-05;72,59;74,08;71,42;66,24
1771;2004-11-06;61,74;67,15;68,45;67,43
1772;2004-11-07;57,65;65,62;64,06;60,42
1773;2004-11-08;62,62;65,61;66,37;64,99
1774;2004-11-09;87,06;77,39;83,74;85,71
1775;2004-11-10;80,17;84,33;79,00;82,20
1776;2004-11-11;74,55;72,95;73,92;72,00
1777;2004-11-12;68,10;74,68;73,57;70,88
1778;2004-11-13;79,37;83,42;85,90;86,56
1779;2004-11-14;91,97;94,29;95,41;92,95
1780;2004-11-15;88,13;90,14;90,16;93,16
1781;2004-11-16;73,30;72,46;73,61;73,45
1782;2004-11-17;63,82;70,15;68,07;66,91
1783;2004-11-18;69,75;72,33;73,01;72,84
1784;2004-11-19;70,95;75,08;75,74;73,95
1785;2004-11-20;64,69;69,61;69,90;67,93
1786;2004-11-21;52,63;60,36;60,25;55,85
1787;2004-11-22;50,22;58,06;57,60;54,90
1788;2004-11-23;65,74;68,83;74,97;73,43
1789;2004-11-24;97,22;92,77;96,31;97,70
1790;2004-11-25;82,88;90,97;86,06;88,44
1791;2004-11-26;74,37;84,18;84,51;80,67
