;fecha;prate_00;prate_06;prate_12;prate_18
2473;2006-10-09;0,00;0,00;0,00;0,00
2474;2006-10-10;0,00;0,00;0,00;0,00
2475;2006-10-11;0,78;1,77;4,04;1,34
2476;2006-10-12;0,00;0,00;0,00;0,00
2477;2006-10-13;1,36;1,02;3,87;0,00
2478;2006-10-14;6,61;18,04;20,26;10,07
2479;2006-10-15;24,19;17,37;27,09;27,67
2480;2006-10-16;0,00;0,00;0,00;0,00
2481;2006-10-17;0,00;0,00;0,00;0,00
2482;2006-10-18;0,00;0,00;0,00;0,00
2483;2006-10-19;0,00;0,00;0,00;0,00
2484;2006-10-20;0,00;0,00;0,09;0,02
2485;2006-10-21;0,00;0,00;0,00;0,00
2486;2006-10-22;0,00;0,00;0,00;0,00
2487;2006-10-23;0,00;0,00;0,00;0,00
2488;2006-10-24;0,00;0,00;0,00;0,00
2489;2006-10-25;7,71;8,60;6,42;9,68
2490;2006-10-26;0,50;0,99;0,43;0,45
2491;2006-10-27;7,82;5,64;6,91;6,48
2492;2006-10-28;22,70;17,73;16,61;21,08
2493;2006-10-29;0,00;0,00;0,02;0,06
2494;2006-10-30;0,30;0,06;8,29;1,64
2495;2006-10-31;0,00;0,00;0,06;0,06
2496;2006-11-01;0,00;0,00;0,00;0,00
2497;2006-11-02;0,00;0,00;0,00;0,00
2498;2006-11-03;0,95;0,09;0,02;0,58
2499;2006-11-04;0,00;0,00;0,00;0,00
2500;2006-11-05;0,00;0,09;1,66;0,22
2501;2006-11-06;9,61;4,84;9,74;2,70
2502;2006-11-07;0,04;0,00;0,06;0,02
2503;2006-11-08;0,00;0,00;0,00;0,00
2504;2006-11-09;0,00;0,00;0,00;0,00
2505;2006-11-10;0,00;0,00;0,04;0,00
2506;2006-11-11;0,00;0,00;0,00;0,00
2507;2006-11-12;0,00;0,00;0,00;0,00
2508;2006-11-13;0,00;0,00;0,00;0,00
2509;2006-11-14;0,00;0,00;0,00;0,00
2510;2006-11-15;0,00;2,76;0,15;0,22
2511;2006-11-16;11,45;7,24;12,29;6,74
2512;2006-11-17;0,52;0,58;0,04;0,11
2513;2006-11-18;0,02;0,02;0,00;0,02
2514;2006-11-19;0,00;0,00;0,00;0,00
2515;2006-11-20;0,00;0,00;0,00;0,00
2516;2006-11-21;0,00;0,00;0,00;0,00
2517;2006-11-22;0,00;0,00;0,00;0,00
2518;2006-11-23;0,00;0,00;0,00;0,00
2519;2006-11-24;0,41;0,00;0,86;0,39
2520;2006-11-25;0,15;1,06;0,58;0,02
2521;2006-11-26;4,77;15,44;15,23;15,70
2522;2006-11-27;9,48;7,34;4,90;7,82
2523;2006-11-28;3,07;2,74;0,19;5,18
2524;2006-11-29;0,00;0,02;0,19;0,00
2525;2006-11-30;0,00;0,00;0,00;0,00
2526;2006-12-01;0,00;0,00;0,00;0,00
2527;2006-12-02;0,11;2,92;1,73;0,37
2528;2006-12-03;1,47;1,38;13,95;4,80
2529;2006-12-04;0,00;0,00;0,00;0,00
2530;2006-12-05;0,00;0,00;0,02;0,00
2531;2006-12-06;0,00;0,00;2,94;0,00
2532;2006-12-07;0,00;0,00;2,57;0,00
2533;2006-12-08;0,00;0,00;0,00;0,00
2534;2006-12-09;0,30;0,00;1,38;1,21
2535;2006-12-10;0,00;0,00;0,00;0,00
2536;2006-12-11;0,00;0,00;0,00;0,00
2537;2006-12-12;0,00;0,00;0,00;0,00
2538;2006-12-13;0,22;0,13;0,00;0,28
2539;2006-12-14;0,09;0,00;0,48;1,68
2540;2006-12-15;2,29;0,86;1,94;20,58
2541;2006-12-16;0,00;0,00;0,00;0,00
2542;2006-12-17;35,45;30,11;37,93;37,43
2543;2006-12-18;20,87;5,90;1,21;27,37
2544;2006-12-19;0,00;0,00;3,09;0,00
2545;2006-12-20;3,02;7,15;0,32;2,16
2546;2006-12-21;4,69;0,69;0,11;4,84
2547;2006-12-22;0,00;0,00;0,00;0,00
2548;2006-12-23;0,00;0,00;0,00;0,00
2549;2006-12-24;11,17;5,12;6,24;14,86
2550;2006-12-25;0,15;1,88;1,02;1,17
2551;2006-12-26;0,06;0,04;0,00;0,00
2552;2006-12-27;0,00;0,00;0,00;0,00
2553;2006-12-28;0,00;0,00;0,11;0,00
2554;2006-12-29;0,00;0,00;0,00;1,49
2555;2006-12-30;2,22;2,81;0,24;1,27
2556;2006-12-31;1,43;4,02;0,89;5,21
2557;2007-01-01;0,00;0,00;0,00;0,00
2558;2007-01-02;5,55;7,30;5,70;3,67
2559;2007-01-03;6,35;3,59;13,28;6,54
2560;2007-01-04;6,03;3,82;2,12;0,71
2561;2007-01-05;0,00;0,00;0,15;6,29
2562;2007-01-06;0,00;0,00;0,09;0,00
2563;2007-01-07;0,13;0,00;0,00;0,00
2564;2007-01-08;0,65;7,06;0,00;0,58
2565;2007-01-09;0,93;0,30;0,56;2,22
2566;2007-01-10;0,00;0,00;0,00;0,00
2567;2007-01-11;0,99;9,37;8,58;0,97
2568;2007-01-12;0,30;0,02;13,59;0,32
2569;2007-01-13;0,00;0,00;0,00;0,00
2570;2007-01-14;0,00;0,00;0,00;0,00
2571;2007-01-15;0,00;0,00;0,00;0,00
2572;2007-01-16;0,00;0,00;0,00;0,00
2573;2007-01-17;0,00;0,00;0,00;0,00
2574;2007-01-18;0,00;0,00;0,00;0,00
2575;2007-01-19;0,00;0,00;0,06;0,00
2576;2007-01-20;0,00;0,00;1,23;0,00
2577;2007-01-21;0,00;0,00;0,00;0,00
2578;2007-01-22;0,00;0,00;0,00;0,00
2579;2007-01-23;0,00;0,00;0,00;0,00
2580;2007-01-24;2,53;8,60;8,94;5,68
2581;2007-01-25;0,00;0,02;8,49;0,00
2582;2007-01-26;17,34;45,19;90,37;10,56
2583;2007-01-27;7,80;5,96;15,42;10,30
2584;2007-01-28;0,00;0,00;0,00;0,00
2585;2007-01-29;0,00;0,00;0,00;0,00
2586;2007-01-30;0,00;0,00;0,00;0,00
2587;2007-01-31;0,02;0,00;0,00;0,00
2588;2007-02-01;0,00;0,00;0,00;0,00
2589;2007-02-02;0,00;0,00;0,00;0,00
2590;2007-02-03;0,00;0,00;0,00;0,00
2591;2007-02-04;0,00;3,26;1,23;0,00
2592;2007-02-05;7,69;9,14;12,64;14,52
2593;2007-02-06;3,13;4,86;4,75;4,23
2594;2007-02-07;0,15;0,00;0,04;0,00
2595;2007-02-08;0,00;0,02;0,00;0,00
2596;2007-02-09;1,10;0,00;0,00;0,91
2597;2007-02-10;0,43;0,69;0,04;0,95
2598;2007-02-11;0,00;0,00;1,94;0,00
2599;2007-02-12;0,00;0,00;0,13;0,02
2600;2007-02-13;0,00;0,00;0,00;0,00
2601;2007-02-14;0,00;0,00;0,00;0,00
2602;2007-02-15;0,00;0,00;1,49;0,00
2603;2007-02-16;10,32;13,39;3,26;6,35
2604;2007-02-17;22,53;34,26;30,95;33,67
2605;2007-02-18;0,97;0,37;1,21;0,89
2606;2007-02-19;0,00;0,00;0,00;0,00
2607;2007-02-20;0,00;0,00;0,00;0,00
2608;2007-02-21;0,00;0,02;0,00;0,00
2609;2007-02-22;0,02;0,00;0,26;0,58
2610;2007-02-23;0,00;0,00;0,00;0,02
2611;2007-02-24;1,40;2,70;3,07;2,51
2612;2007-02-25;0,00;0,00;0,00;0,00
2613;2007-02-26;0,02;0,04;0,00;0,09
2614;2007-02-27;7,82;4,28;6,72;4,21
2615;2007-02-28;30,22;8,10;58,95;37,93
2616;2007-03-01;11,97;7,34;1,81;8,88
2617;2007-03-02;0,37;2,44;2,05;1,17
2618;2007-03-03;0,00;0,00;0,00;0,00
2619;2007-03-04;5,01;8,68;11,75;7,43
2620;2007-03-05;1,21;0,67;2,48;2,61
2621;2007-03-06;0,30;0,19;0,24;0,37
2622;2007-03-07;0,00;0,00;0,13;0,22
2623;2007-03-08;89,86;83,96;13,46;73,46
2624;2007-03-09;32,25;37,97;40,69;43,65
2625;2007-03-10;0,00;0,00;0,00;0,00
2626;2007-03-11;0,00;0,00;0,00;0,00
2627;2007-03-12;0,00;0,00;0,00;0,00
2628;2007-03-13;0,00;0,00;0,00;0,00
2629;2007-03-14;0,00;0,00;0,00;0,00
2630;2007-03-15;0,00;0,02;0,02;0,02
2631;2007-03-16;0,22;0,65;0,50;0,06
2632;2007-03-17;5,62;6,54;2,27;3,93
2633;2007-03-18;0,06;0,04;0,00;0,04
2634;2007-03-19;0,00;0,00;0,02;0,00
2635;2007-03-20;0,00;0,00;0,00;0,00
2636;2007-03-21;0,00;0,00;0,00;0,00
2637;2007-03-22;0,00;0,00;0,00;0,00
2638;2007-03-23;8,94;9,96;21,25;14,28
2639;2007-03-24;0,17;0,24;0,22;0,22
2640;2007-03-25;0,00;0,00;0,00;0,00
2641;2007-03-26;0,35;0,39;0,97;9,83
2642;2007-03-27;17,56;10,07;10,13;17,86
2643;2007-03-28;61,17;86,68;45,27;58,08
2644;2007-03-29;26,91;21,75;27,00;50,22
2645;2007-03-30;87,39;69,27;59,70;72,30
2646;2007-03-31;13,24;14,80;4,04;6,59
2647;2007-04-01;21,92;18,96;3,84;17,56
2648;2007-04-02;6,54;7,34;6,63;6,20
2649;2007-04-03;0,02;0,19;0,11;0,09
2650;2007-04-04;0,00;0,00;0,00;0,00
2651;2007-04-05;0,00;0,00;0,00;0,00
2652;2007-04-06;0,00;0,00;0,00;0,00
2653;2007-04-07;8,19;3,78;2,89;7,65
2654;2007-04-08;0,00;0,04;0,11;0,45
2655;2007-04-09;0,00;0,00;0,02;0,00
2656;2007-04-10;0,02;0,00;0,09;0,02
2657;2007-04-11;0,82;0,50;1,40;1,43
2658;2007-04-12;10,11;14,26;7,32;11,21
2659;2007-04-13;0,00;0,00;0,00;0,00
2660;2007-04-14;0,00;0,00;0,00;0,00
2661;2007-04-15;0,37;0,48;0,32;0,28
2662;2007-04-16;0,30;0,52;0,15;0,04
2663;2007-04-17;2,27;2,94;0,84;1,32
2664;2007-04-18;19,76;13,93;24,26;25,77
2665;2007-04-19;0,13;0,82;2,96;0,39
2666;2007-04-20;5,66;6,78;1,71;4,08
2667;2007-04-21;11,84;10,13;9,78;7,67
2668;2007-04-22;1,02;2,53;3,11;1,23
2669;2007-04-23;5,38;5,57;3,61;9,20
2670;2007-04-24;0,00;0,04;0,00;0,00
2671;2007-04-25;0,00;0,00;0,00;0,00
2672;2007-04-26;0,00;0,13;0,00;0,00
2673;2007-04-27;0,00;0,00;0,00;0,00
2674;2007-04-28;0,00;0,00;0,00;0,00
2675;2007-04-29;0,00;0,00;0,00;0,00
2676;2007-04-30;0,00;0,00;0,00;0,00
2677;2007-05-01;;;0,58;0,50
2678;2007-05-02;3,91;3,84;;
2679;2007-05-03;0,24;0,35;1,04;0,19
2680;2007-05-04;3,97;4,58;4,51;3,13
2681;2007-05-05;1,68;2,05;3,41;1,38
2682;2007-05-06;3,35;0,56;0,06;4,15
2683;2007-05-07;0,13;0,26;0,06;1,68
2684;2007-05-08;0,00;0,00;0,00;0,00
2685;2007-05-09;0,00;0,00;0,00;0,00
2686;2007-05-10;0,00;0,00;0,00;0,00
2687;2007-05-11;0,00;0,00;0,00;0,00
2688;2007-05-12;0,00;0,00;0,37;0,00
2689;2007-05-13;0,00;0,00;0,00;0,00
2690;2007-05-14;;;0,00;0,00
2691;2007-05-15;0,09;0,06;;
2692;2007-05-16;0,91;0,71;0,82;0,71
2693;2007-05-17;0,00;0,00;0,00;0,00
2694;2007-05-18;0,00;0,00;0,00;0,00
2695;2007-05-19;0,00;0,00;0,00;0,00
2696;2007-05-20;0,00;0,00;0,00;0,00
2697;2007-05-21;0,00;0,00;0,00;0,00
2698;2007-05-22;0,00;0,00;0,02;0,00
2699;2007-05-23;0,02;0,02;0,00;0,00
2700;2007-05-24;0,00;0,11;0,04;0,02
2701;2007-05-25;0,00;0,00;0,00;0,00
2702;2007-05-26;0,00;0,00;0,00;0,00
2703;2007-05-27;0,00;0,00;0,00;0,00
2704;2007-05-28;0,00;0,00;0,00;0,00
2705;2007-05-29;0,00;0,00;0,00;0,00
2706;2007-05-30;0,00;0,00;0,00;0,00
2707;2007-05-31;0,00;0,00;0,00;0,00
2708;2007-06-01;0,00;0,00;0,02;0,00
2709;2007-06-02;0,00;0,00;0,00;0,00
2710;2007-06-03;0,00;0,00;0,00;0,00
2711;2007-06-04;0,00;0,00;0,00;0,00
2712;2007-06-05;0,00;0,00;0,00;0,00
2713;2007-06-06;0,00;0,00;0,00;0,00
2714;2007-06-07;0,00;0,00;0,00;0,00
2715;2007-06-08;0,00;0,00;0,00;0,00
2716;2007-06-09;0,00;0,00;0,00;0,00
2717;2007-06-10;0,00;0,00;0,00;0,00
2718;2007-06-11;0,00;0,00;0,00;0,00
2719;2007-06-12;0,00;0,00;0,00;0,00
2720;2007-06-13;0,00;0,00;0,00;0,00
2721;2007-06-14;0,00;0,00;0,50;0,04
2722;2007-06-15;11,30;10,54;15,57;8,25
2723;2007-06-16;0,54;0,41;0,43;0,41
2724;2007-06-17;0,00;0,00;0,00;0,00
2725;2007-06-18;0,00;0,00;0,00;0,00
2726;2007-06-19;0,00;0,00;0,00;0,00
2727;2007-06-20;0,00;0,00;0,00;0,00
2728;2007-06-21;;;0,00;0,00
2729;2007-06-22;0,00;0,00;;
2730;2007-06-23;0,45;0,82;0,19;0,52
2731;2007-06-24;0,00;0,00;0,00;0,00
2732;2007-06-25;0,00;0,00;0,00;0,00
2733;2007-06-26;0,00;0,00;0,00;0,00
2734;2007-06-27;0,00;0,00;0,00;0,00
2735;2007-06-28;0,00;0,00;0,00;0,00
2736;2007-06-29;0,00;0,00;0,00;0,00
2737;2007-06-30;0,00;0,00;0,00;0,00
2738;2007-07-01;0,00;0,00;0,00;0,00
2739;2007-07-02;0,02;0,00;0,06;0,00
2740;2007-07-03;0,00;0,00;0,00;0,00
2741;2007-07-04;0,00;0,00;0,00;0,00
2742;2007-07-05;0,02;0,00;0,02;0,02
2743;2007-07-06;0,00;0,00;0,26;0,04
2744;2007-07-07;0,28;0,32;0,11;0,30
2745;2007-07-08;0,32;0,04;0,06;0,35
2746;2007-07-09;0,00;0,06;0,00;0,00
2747;2007-07-10;0,41;0,56;1,17;0,80
2748;2007-07-11;0,00;0,00;0,00;0,00
2749;2007-07-12;0,00;0,00;0,00;0,00
2750;2007-07-13;0,00;0,00;0,00;0,00
2751;2007-07-14;0,00;0,00;0,06;0,04
2752;2007-07-15;0,00;0,00;0,00;0,00
2753;2007-07-16;0,00;0,00;0,00;0,00
2754;2007-07-17;0,30;0,32;0,00;0,32
2755;2007-07-18;0,06;0,09;0,13;0,02
2756;2007-07-19;0,00;0,00;0,00;0,00
2757;2007-07-20;0,00;0,00;0,00;0,00
2758;2007-07-21;0,00;0,00;0,00;0,00
2759;2007-07-22;0,17;0,02;0,17;0,13
2760;2007-07-23;0,00;0,00;0,00;0,00
2761;2007-07-24;0,56;0,73;0,43;0,50
2762;2007-07-25;0,00;0,06;0,19;0,15
2763;2007-07-26;0,89;1,47;0,95;1,23
2764;2007-07-27;0,00;0,00;0,00;0,00
2765;2007-07-28;0,00;0,00;0,00;0,00
2766;2007-07-29;0,00;0,00;0,00;0,00
2767;2007-07-30;0,00;0,00;0,00;0,00
2768;2007-07-31;0,00;0,00;0,00;0,00
2769;2007-08-01;0,00;0,00;0,00;0,00
2770;2007-08-02;0,41;0,54;0,24;0,54
2771;2007-08-03;0,00;0,04;0,00;0,00
2772;2007-08-04;2,44;4,47;2,33;2,98
2773;2007-08-05;0,00;0,00;0,00;0,00
2774;2007-08-06;0,00;0,00;0,00;0,00
2775;2007-08-07;0,00;0,00;0,00;0,00
2776;2007-08-08;0,00;0,00;0,00;0,00
2777;2007-08-09;0,00;0,00;0,00;0,00
2778;2007-08-10;0,39;0,52;0,17;0,04
2779;2007-08-11;0,04;0,09;0,09;0,04
2780;2007-08-12;0,00;0,00;0,00;0,00
2781;2007-08-13;0,00;0,00;0,00;0,00
2782;2007-08-14;0,02;0,04;0,00;0,02
2783;2007-08-15;0,50;0,28;0,67;1,97
2784;2007-08-16;0,00;0,00;0,00;0,00
2785;2007-08-17;0,00;0,00;0,00;0,00
2786;2007-08-18;0,00;0,00;0,00;0,00
2787;2007-08-19;0,24;0,48;0,00;0,60
2788;2007-08-20;0,95;1,10;0,32;0,84
2789;2007-08-21;0,00;0,00;0,00;0,00
2790;2007-08-22;0,00;0,00;0,00;0,00
2791;2007-08-23;0,00;0,00;0,00;0,00
2792;2007-08-24;0,00;0,00;0,00;0,00
2793;2007-08-25;0,00;0,00;0,00;0,00
2794;2007-08-26;1,58;0,95;0,00;0,00
2795;2007-08-27;0,15;0,11;0,11;0,13
2796;2007-08-28;0,00;0,00;0,00;0,00
2797;2007-08-29;0,00;0,00;0,00;0,00
2798;2007-08-30;0,00;0,00;0,00;0,00
2799;2007-08-31;0,00;0,00;0,00;0,00
2800;2007-09-01;0,00;0,00;0,00;0,00
2801;2007-09-02;0,00;0,00;0,00;0,00
2802;2007-09-03;0,11;0,09;0,15;0,15
2803;2007-09-04;0,04;0,02;0,11;0,15
